Job_Title,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees,Company_Industry
Sr Marketing Data Analyst,SPSS| Data Analysis| R| Python| Excel| SQL,Layer3 TV,2,3.5,30,CO,,
Life Sciences Data Analyst and Consultant,Machine Learning| Power BI| R| SAS| Tableau| Design Experience| Leadership Experience| Python| Data Science,ClearView Healthcare Partners,2,5,29,MA,,Health Care
"Director, eCommerce Optimization & Analytics",SQL,Globoforce Limited,2,5,12,MA,,
Director of Analytics,Microsoft Powerpoint| R| SQL| STATA| SPSS| Python,Jetblack,2,2.5,9,NY,,
Data Analyst,SQL| Excel| Tableau,Mixbook,3,4.300000191,3,CA,,
Data Analyst,Business Intelligence| Excel| Microsoft Office| SQL| Tableau| Data Warehouse| Python,Cresco Labs,3,2.299999952,4,IL,,
"Data Analyst (GIS, LiDar, Ortho/Imagery)",MicroStation| CAD| GIS| Basic Computer Skills,GeoDigital,3,3,30,TX,,
Data Analyst,Excel,Alliance Health Professionals,3,4,30,MI,,
Data Analyst,Data Mining| SQL| Microsoft Office| Tableau| Data Analysis,Western National Insurance Group,3,2,30,MN,,Insurance
Revenue Cycle Data Analyst (Baltimore),Microsoft Powerpoint| Visio| Data Analysis| Microsoft Office,Concerted Care Group,3,1.700000048,8,MD,,
"Data Analyst, Customer Support Operations",SQL,Coinbase,3,4.699999809,6,OR,"Less than 10,000",Internet and Software
Loan Portfolio Data Analyst,Excel,Capital Impact Partners,3,4,30,VA,,
Data Analyst,Business Intelligence| SQL| Tableau,Lucky Day,3,4.300000191,29,CA,,
Associate Data Analyst,Visual Basic| R| Microsoft Office| Excel| Tableau| Python,RiskSpan,3,4,11,VA,,
Business & Data Analyst,Microsoft SQL Server| XML| Project Management| Power BI| Google Search Console| JSON| SQL,GlassDoor,3,4.300000191,4,IN,"10,000+","Restaurants, Travel and Leisure"
Reporting and Data Analyst,Data Mining| R| SAS| SQL| Microsoft Office| Tableau| Alteryx| SPSS,A. H. Belo Corporation,3,3.299999952,30,TX,,
Business Data Analyst,Data Mining,"HumanTouch, LLC",3,4.699999809,12,VA,,
Senior Data Analyst,R| Statisical Analysis| SQL| Tableau| Data Analysis| Python,GoodRx,3,5,27,CA,"Less than 10,000",Internet and Software
Senior Data Analyst,Business Intelligence| Ruby| R| Perl| Statisical Analysis| SQL| Tableau| Spark| Python,Snowflake Computing,3,4.300000191,30,CA,,
Data Analyst- Product,Quantitative Analysis| Python| Tableau,Hearsay Social,3,4.300000191,19,CA,,
Data Analyst / Database Developer,Microsoft SQL Server| Project Management| Scripting| Oracle| SQL| .Net| MySQL| Data Warehouse,GlassDoor,3,4.699999809,14,RI,"10,000+","Restaurants, Travel and Leisure"
Senior Data Analyst,Data Warehouse| Machine Learning| Python| SQL,RocksBox,3,2.299999952,30,CA,,
Data Analyst - Design+Construction and Cost+Risk Management,JavaScript| R| Microsoft Office| HTML5| Tableau| Big Data|  Project / Program Management| Python,MGAC,3,4,16,CA,,
Executive Director of Analytics and Insights,Marketing| Azure| AWS,Ramsey Solutions,3,5,2,TN,,
Data Analyst - MSI,SQL| Tableau,NYSTEC,4,4.300000191,7,NY,,
Data Analyst,Google Analytics| Data Analysis| R| Python| SQL| AWS,23andMe,4,4,22,CA,"Less than 10,000",Health Care
Data Analyst Intern,SAS| Oracle| SQL| Tableau,Mid-Atlantic Permanente Medical Group,4,3,18,MD,"Less than 10,000",Health Care
Data Analyst,SQL| Tableau,ipsy,4,4,30,CA,,
Clinical Data Analyst - PHS,ICD-10| SQL| Microsoft Office,NYSTEC,4,4.300000191,13,NY,,
Clinical Data Analyst - PHS,ICD-10| SQL| Microsoft Office,NYSTEC,4,4.300000191,14,NY,,
MS Access / VBA Developer / Data Analyst,Microsoft SQL Server| Active Directory| Visual Basic| SDLC| SAP| Microsoft Office| SQL| Microsoft Access,Cormac Corporation,4,4.300000191,4,DC,,
Senior Data Analyst,R| SAS| Oracle| Python| SQL| Tableau,Mid-Atlantic Permanente Medical Group,4,3,7,MD,"Less than 10,000",Health Care
Data Analyst,SQL| Tableau,ipsy,4,4,13,NY,,
Data Analyst,Data Analysis| Oracle| SAS| SQL,Zachary Piper Solutions,4,3.799999952,30,NC,"Less than 10,000",Internet and Software
Data Analyst,Microsoft SQL Server| Data Warehouse| Power BI| Business Analysis| SQL| Microsoft Access,Corcentric,4,2.799999952,18,FL,,
Research Data Analyst,Python| SQL,Simons Foundation,4,4.800000191,30,NY,,
Data Analyst,Java| Microsoft SQL Server| Power BI| SDLC| Leadership Experience| Python| SQL,Galaxy Systems,4,1.799999952,30,NJ,,
Business-Data Analyst,Microsoft SQL Server| Analysis Skills| SQL,Blue Chip Talent,4,3.799999952,30,NC,,
Data Analyst,Pig| Hive| Hadoop| Scala| R| SQL| Java| MySQL| Spark| PostgreSQL| Python,NinthDecimal,4,3.299999952,12,CA,,
Data Analyst Consulting Services,Data Mining| R| SAS| Statisical Analysis,Certara,4,3.799999952,5,NJ,,
Data Analyst (India),Experimental Design| R| Statisical Analysis| SQL| STATA| SPSS| SAS| Tableau| Java| Python,Women's World Banking,4,4,19,NY,,
Data Analyst,Experimental Design| R| Statisical Analysis| SQL| STATA| SPSS| SAS| Tableau| Java| Python,Women's World Banking,4,4,19,NY,,
Data Analyst,Experimental Design| R| Statisical Analysis| SQL| STATA| SPSS| SAS| Tableau| Java| Python,Microfinance Gateway,4,4,18,NY,,
Data Analyst Consulting Services,Data Mining| R| SAS| Statisical Analysis,Certara,4,3.799999952,30,NJ,,
Data Analyst Consulting Services,Data Mining| R| SAS| Statisical Analysis,Certara,4,3.799999952,30,NC,,
SAS Data Analyst,Microsoft SQL Server| Data Mining| R| SAS| Tableau| STATA| SharePoint| MATLAB,"Onyx Government Services, LLC",4,4.5,30,DC,,
"Data Analyst Consultant, Professional Services - NYC",Pig| Hive| Microsoft SQL Server| SQL| JavaScript| Business Intelligence| Ruby| Oracle| Spark| Data Warehouse| Python,Looker,4,4,30,NY,"Less than 10,000",Internet and Software
Director of Customer Analytics,,JBCconnect,4,2.299999952,26,GA,,
"Director of Technology & Analytics, Irvine, CA",Database Marketing| Machine Learning| Hadoop| Azure| Spark| Design Experience| AWS,BCG Digital Ventures,4,4.5,30,CA,,
Data Analyst,Business Intelligence| Data Mining| Data Analysis| Python| SQL,stearns bank,5,2.799999952,6,MN,,Banks and Financial Services
Research/Data Analyst,Statistical Software| Microsoft Powerpoint| R| SAS| Microsoft Office| Tableau| SPSS,Holleran Consulting,5,3.400000095,2,PA,,
"Data Analyst, Key Accounts",Quantitative Analysis| Data Mining| R| SQL| MATLAB| Python,Snap Inc.,5,3.799999952,30,CA,,
Data Analyst III,,Acquisition Life Cycle Management,5,5,26,GA,,
"Manager, Data Analyst",R| Python| SQL,Bird Rides Inc.,5,4.599999905,30,CA,,Transport and Freight
Data Analyst,Survey Design| Data Analysis| R| Statisical Analysis| Python| Quantitative Research| SQL,Bird Rides Inc.,5,4.599999905,29,NY,,Transport and Freight
Product Data Analyst,,Waymo,5,3.599999905,30,CA,,
Data Analyst,Confluence| Data Warehouse| Jira| SQL,Delta Dental of Minnesota,5,4.800000191,30,MN,"Less than 10,000",Insurance
Environmental Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| R| Management Experience| Crystal Reports| Microsoft Access| Tableau| Java| Microsoft Word| GIS| Python,ddms,5,2.599999905,27,USA,,
Sr. Data Analyst,SQL,Bird Rides Inc.,5,4.599999905,30,CA,,Transport and Freight
Sr. Data Analyst,Quantitative Analysis| R| SAS| Python| SQL,Convoy,5,4.800000191,30,WA,,
Specialist I - Sr. Business Data Analyst,R| SAS| SQL| Tableau,Vistra Energy,5,4.599999905,21,TX,,
Data Analyst (AKA Lead Quant),Business Intelligence| Google Analytics| SQL| Tableau,Seasoned,5,4.800000191,30,CA,,
Data Analyst (AKA Lead Quant),Business Intelligence| Google Analytics| SQL| Tableau,Seasoned,5,4.800000191,30,TX,,
Data Analyst - Commercial Sales,Time Management| Python| SQL| Excel,Convoy,5,4.800000191,30,WA,,
Data Analyst,Salesforce CRM| Alteryx| Hyperion| Tableau,"Alteryx, Inc.",5,5,6,CA,"Less than 10,000",Internet and Software
Data Analyst,Machine Learning| Data Warehouse| R| Python| SQL,Convoy,5,4.800000191,30,WA,,
Sr. Data Analyst II,Oracle| Python| SQL,EPMA,5,4.199999809,6,WA,"Less than 10,000",Consulting and Business Services
Investment Data Analyst,R| Python| SQL,Balyasny,5,4.400000095,15,IL,,
"Senior Analyst, Data & Analytics",Google Analytics| SQL| Tableau| Python,MWW Group,5,2.799999952,14,NY,,
Sector Data Analyst - Healthcare,Python| SQL,Balyasny,5,4.400000095,30,NY,,
"Senior Analyst, Data & Analytics",Google Analytics| SQL| Tableau| Python,MWW Group,5,2.799999952,30,NY,,
Sr. Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| Scripting| R| Crystal Reports| SQL| Microsoft Access| Tableau| Java| .Net| Microsoft Word| ArcGIS| C#| Python,ddms,5,2.599999905,27,USA,,
Magento Sr Marketing Technology and Data Analyst,Salesforce CRM| Marketing Automation| Magento| Marketing| Adobe Marketing| Tableau,Magento,5,4,4,CA,,
Data Analyst,JavaScript| SQL| Microsoft Office| Java| Microsoft Word| Angular| Visio| Data Analysis| PHP,Nolij Consulting,6,3.299999952,12,VA,,
Data Analyst IV,CSS| Oracle| SQL,Common Securitization Solutions,6,2.200000048,11,CA,"Less than 10,000",Banks and Financial Services
Data Analyst II,Business Intelligence| Crystal Reports| Microsoft Office| Tableau,Vera Whole Health,6,4.300000191,15,WA,,
"Data Analyst, Ecommerce",Data Mining| Power BI| R| Python| SQL| Tableau,BoxyCharm,6,2.799999952,30,FL,,
"Data Analyst, Ecommerce",Data Mining| Power BI| R| Python| SQL| Tableau,Boxy Charm,6,2.799999952,30,FL,,
Senior Data Analyst,Quantitative Analysis| SQL| Tableau,HotelTonight,6,3.799999952,30,CA,,
Integration Data Analyst,Data Mining| Microsoft SQL Server| Microsoft Powerpoint| Power BI| SDLC| SQL| Microsoft Office| Visio| Data Analysis,"C&A Industries, Inc",6,4.300000191,8,MO,,Consulting and Business Services
Data Analyst/Modeler,Visual Basic| SPARQL| SQL| Excel| Tableau,Nolij Consulting,6,3.299999952,11,VA,,
Business Data Analyst VBA/SQL,JavaScript| Microsoft SQL Server| Microsoft Powerpoint| Visual Basic| Power BI| SQL| Microsoft Office| HTML5| Tableau| .Net| C#,Solomon Associates,6,4.300000191,30,TX,,
Senior Data Analyst,Quantitative Analysis| SQL| Tableau,HotelTonight,6,3.799999952,30,NY,,
Data Analyst,Machine Learning| SQL,Harnham,6,4.800000191,30,CA,"Less than 10,000",Consulting and Business Services
"Senior Data Analyst, Planning Analytics",Machine Learning| R| Statisical Analysis| Python| SQL| Tableau,MM.Lafleur,6,2.700000048,30,NY,,
Senior Data Analyst,R| Python| SQL| Tableau,Harnham,6,4.800000191,30,CA,"Less than 10,000",Consulting and Business Services
Senior Data Analyst Contractor,R| Python| SQL| Tableau,Harnham,6,4.800000191,7,CA,"Less than 10,000",Consulting and Business Services
Senior Data Analyst,SQL,Harnham,6,4.800000191,30,CA,"Less than 10,000",Consulting and Business Services
Marketing Data Analyst (6 month contract),R| Marketing| Python| SQL,Harnham,6,4.800000191,11,CA,"Less than 10,000",Consulting and Business Services
SVP of Marketing Analytics and Strategy - Specialty Retailer,Data Mining| Machine Learning| Management Experience| Marketing Mix Modeling,Harnham,6,4.800000191,21,CA,"Less than 10,000",Consulting and Business Services
VP Digital Analytics,Marketing| R| Digital Marketing| Python,Harnham,6,4.800000191,30,NY,"Less than 10,000",Consulting and Business Services
VP Advanced Analytics,Machine Learning| SAS| Python| SQL,Harnham,6,4.800000191,30,NY,"Less than 10,000",Consulting and Business Services
VP Marketing Analytics,Performance Marketing| R| SAS| Python| SQL,Harnham,6,4.800000191,30,TN,"Less than 10,000",Consulting and Business Services
Head of Category Analytics,,Harnham,6,4.800000191,30,NY,"Less than 10,000",Consulting and Business Services
VP Marketing Analytics,Performance Marketing| R| SAS| Python| SQL,Harnham,6,4.800000191,30,TX,"Less than 10,000",Consulting and Business Services
"Director, Digital Analytics - Fashion Brand",Microsoft Word| Microsoft Powerpoint| Microsoft Office| Tableau,Harnham,6,4.800000191,30,CA,"Less than 10,000",Consulting and Business Services
VP Marketing Analytics,Performance Marketing| R| SAS| Python| SQL,Harnham,6,4.800000191,30,NY,"Less than 10,000",Consulting and Business Services
"Director, Digital Analytics - Fashion Brand",Microsoft Word| Microsoft Powerpoint| Microsoft Office| Tableau,Harnham,6,4.800000191,30,CA,"Less than 10,000",Consulting and Business Services
Senior Business Analytics Manager,R| Python| SQL,JustAnswer,6,3.700000048,30,CA,,
"Manager, Advanced Analytics",Hive| Machine Learning| Hadoop| R| Python| SQL,Harnham,6,4.800000191,30,NY,"Less than 10,000",Consulting and Business Services
Senior Director of Advanced Analytics,R| SAS| SQL,Harnham,6,4.800000191,30,NY,"Less than 10,000",Consulting and Business Services
Director of Product Analytics - Ecommerce,R| Data Science| Python| SQL,Harnham,6,4.800000191,30,CA,"Less than 10,000",Consulting and Business Services
"Vice President, Data Analyst",Java| Visual Basic| Perl| Oracle| Python| SQL| Sybase,MSCI Inc.,6,4.199999809,19,CA,,
"Associate Analyst, Data Analytics",Microsoft Powerpoint| Excel,"CMI Media and Compas, Inc.",7,3.599999905,30,NJ,"Less than 10,000",Consulting and Business Services
"Associate Analyst, Data Analytics",Microsoft Powerpoint| Excel,"CMI Media and Compas, Inc.",7,3.599999905,19,PA,"Less than 10,000",Consulting and Business Services
Data Analyst,,Fruition Partners,7,4.099999905,12,NV,,
"Data Analyst- Sales Tools- Bothell, WA",,Fruition Partners,7,4.099999905,4,WA,,
"Analyst, Data Analytics",Microsoft Powerpoint| Python| SQL| Excel,"CMI Media and Compas, Inc.",7,3.599999905,30,NJ,"Less than 10,000",Consulting and Business Services
"Associate Analyst, Data Analytics",Microsoft Powerpoint| Excel,"CMI Media and Compas, Inc.",7,3.599999905,30,PA,"Less than 10,000",Consulting and Business Services
"Analyst, Data Analytics",Microsoft Powerpoint| Python| SQL| Excel,"CMI Media and Compas, Inc.",7,3.599999905,30,PA,"Less than 10,000",Consulting and Business Services
Data Analyst,Java| Microsoft SQL Server| Microsoft Powerpoint| Visual Basic| SAS| Python| SQL| Microsoft Office| HTML5,Dime Community Bank,7,2.599999905,30,NY,,Banks and Financial Services
"Analyst, Data Analytics",Microsoft Powerpoint| Python| SQL| Excel,"CMI Media and Compas, Inc.",7,3.599999905,30,PA,"Less than 10,000",Consulting and Business Services
"Data Analyst, Quality Built-In",Microsoft Powerpoint| Visio| Microsoft Office,Children's Hospital & Research Center Oakland,7,3.299999952,30,CA,,Health Care
Data Analyst,JavaScript| Database Administration| R| SQL,T. Parker Host,7,3.700000048,30,VA,,Transport and Freight
Data Analyst,Data Mining| Microsoft SQL Server| Microsoft Powerpoint| SAP| Big Data| Data Analysis,AbleVets LLC,7,3.700000048,19,VA,,
Data Analyst,SQL| Tableau,Dollar Shave Club,7,3.900000095,30,CA,"Less than 10,000",Consumer Goods and Services
Data Analyst,Ruby| R| SQL| Tableau| Python,LevelUp,7,4.099999905,30,MA,"Less than 10,000",Internet and Software
Client Success Data Analyst,SQL| Tableau,Collective Health,7,4.099999905,30,CA,,
Data Analyst,Java| Hive| Scala| Python| SQL| AWS,Sovrn Holdings,7,3.299999952,26,CO,"Less than 10,000","Media, News and Publishing"
IT Healthcare Data Analyst,Business Intelligence| Excel| SQL,CenCal Health,7,4.300000191,7,CA,,
IT DATA ANALYST,ITIL,Los Alamos Technical Associates,7,4.099999905,22,DC,,
DATA ANALYST,Microsoft SQL Server| SQL| Visual Studio| Data Warehouse,General Dentistry 4 Kids,7,3.299999952,30,AZ,,
Blockchain Data Analyst,Microsoft SQL Server| Hadoop| Oracle| C/C++| SQL| Java| Big Data| PostgreSQL| Python,DRW Trading Group,7,4.599999905,30,IL,,
Data Analyst 3,Data Mining| Python| Excel| SQL| Tableau,Motion Recruitment Partners,7,3.400000095,19,CA,,
Digital Analytics Analyst,Oracle| SQL| Tableau,PureCars,7,3.599999905,30,GA,,
Director of Sales & Marketing Analytics & Planning,Leadership Experience,Carbon Black,7,4.099999905,30,MA,"Less than 10,000",Internet and Software
"Data Analyst, Marketing",Marketing Automation| Marketing| Digital Marketing| Microsoft Office,Logic20/20,8,3.599999905,6,WA,"Less than 10,000",Consulting and Business Services
"Data Analyst, Marketing",Marketing Automation| Marketing| Digital Marketing| Microsoft Office,Logic20/20,8,3.599999905,6,WA,"Less than 10,000",Consulting and Business Services
Data Analyst,Power BI| R| Excel| SQL| Data Warehouse| Data Science,ITAGroup,8,3.5,30,IA,,
Order Management Data Analyst,Excel| SQL,Curriculum Associates,8,4.099999905,30,MA,"Less than 10,000","Media, News and Publishing"
Market Data Analyst,Microsoft Office,Parametric,8,3.299999952,30,WA,,
Data Analyst. Customer Experience,Big Data| Data Science| Python| SQL,Geotab,8,3.799999952,30,NV,"Less than 10,000",Internet and Software
"Analyst, Data and Analytics Support",Excel,Parametric,8,3.299999952,26,WA,,
Data Analyst,ERP Systems| OBIEE| Hadoop| Oracle| SQL| Tableau| Spark| Python,ZeniMax Media Inc.,8,4.400000095,28,MD,,
CORE - Data Analyst,Design Experience| Business Analysis| SQL,Logic20/20,8,3.599999905,8,WA,"Less than 10,000",Consulting and Business Services
Data Analyst (Secret Clearance Req'd),Google Analytics,"GCC Technologies, LLC",8,3.799999952,8,DC,,
Sr. Data Analyst,R| Python| SQL| Tableau,Pluralsight,8,4.5,30,UT,"Less than 10,000",Internet and Software
CORE - Data Analyst,Design Experience| Business Analysis| SQL,Logic20/20,8,3.599999905,30,WA,"Less than 10,000",Consulting and Business Services
Data Analyst,Machine Learning| R| Python| SQL,Bowery Farming,8,5,30,NY,,
Data Analyst,Microsoft Office| Visio| Process Management,"TACG, LLC",8,3.400000095,30,AL,,
Director of Analytics - Healthcare,Business Intelligence,Goodwin Recruiting,8,4.5,30,IN,,Human Resources and Staffing
Data Analyst,JavaScript| R| Excel| SQL| Tableau,New Visions for Public Schools,9,4.099999905,18,NY,,Education and Schools
"Data Analyst, Client Intelligence",SQL| Tableau,Lytx,9,3.799999952,7,CA,"Less than 10,000",Internet and Software
Data Analyst,Business Intelligence| Microsoft Powerpoint| Power BI| SDLC| SAS| Microsoft Office| Tableau,Ukpeagvik Iñupiat Corporation/Bowhead Family of Companies,9,2.900000095,4,DC,,Government
Healthcare Data Analyst I,SAS| SQL| Microsoft Office| Excel| Microsoft Access,UNITE HERE HEALTH,9,3.900000095,30,NV,,
Healthcare Data Analyst I,SAS| SQL| Microsoft Office| Excel| Microsoft Access,Culinary Health Center,9,3.900000095,30,NV,,
Data Analyst,Microsoft SQL Server| Data Warehouse| Crystal Reports| SQL,NSD,9,3,30,VA,,
Program Operations Data Analyst,Analysis Skills| Oracle| Quantitative Research| Excel,The International Fund for Animal Welfare,9,4,1,MA,,
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| SAS| SQL,BBYO,9,3.900000095,30,DC,,
Data Analyst I,Data Analysis| Project Management| Oracle| SQL| Microsoft Office,Management Science Associates Inc.,9,2.400000095,30,PA,,
Research and Evaluation Data Analyst,R| SQL,AIDS Foundation of Chicago,9,4.599999905,22,IL,,
Network and Secondary Data Analyst,Microsoft Powerpoint| Project Management| R| Excel| Tableau| STATA,Academy for Urban School Leadership,9,3.299999952,13,IL,"Less than 10,000",Education and Schools
Data Analyst,Power BI,"Accountants One, Inc",9,4.400000095,21,GA,,
Data Analyst I,SQL| Microsoft Office| Data Warehouse,InnovaSystems International,9,4,8,VA,,
Data Analyst,Business Intelligence| Power BI| Data Analysis| R| SQL| Tableau,Dewpoint,9,4.199999809,12,MI,,
Health Data Analyst,Microsoft Word| Audits,Teacher Retirement System of Texas,10,2.5,7,TX,"Less than 10,000",Government
Data Analyst,Data Mining| Microsoft Powerpoint| Google Analytics| R| SAS| SQL| Tableau| STATA,KingsIsle Entertainment,10,3.099999905,30,TX,,Internet and Software
Data Analyst,SQL,Arrowpoint Corporation,10,3.299999952,30,VA,"Less than 10,000",Computers and Electronics
Financial Data Analyst - Apparel and E-commerce,Time Management| Project Management| Business Analysis| Tableau,"Zumba Fitness, LLC",10,4,14,FL,,Consumer Goods and Services
Data Analyst,JavaScript| Data Mining| SPSS| XML| SAS| SQL,Cricut,10,3.299999952,30,UT,"Less than 10,000",Consumer Goods and Services
Senior Data Analyst,R| Python| SQL| Excel,Cisco Meraki,10,4.400000095,1,CA,"Less than 10,000",Internet and Software
Technical Data Analyst,,Clarkston Consulting,10,4.599999905,30,USA,,
Sr. Data Analyst,Quantitative Analysis| Data Analysis| Excel| Tableau,Central Texas Food Bank,10,3.099999905,30,TX,,
Data Analyst,FTP| Software Development| Jira| SQL,Castlight Health,10,3.400000095,29,CA,"Less than 10,000",Internet and Software
Senior Data Analyst,Business Intelligence| SPSS| Power BI| R| SAS| SQL| Excel,HelloWorld,10,3,30,MI,,
Master Data Analyst/Documentation Specialist,Time Management| Excel,Cisco Meraki,10,4.400000095,28,CA,"Less than 10,000",Internet and Software
"Data Analyst, Video",Media Buying| Python| Excel| SQL,AppNexus,10,4.5,30,NY,"Less than 10,000",Internet and Software
"Data Analyst - Consultant - San Francisco, CA",Machine Learning| Oracle| SAS| SQL| Tableau| Data Warehouse| QlikView| Informatica,Clarity Insights,10,3.5,22,CA,,
Data Visualization Specialist - Consultant (Tableau or Power...,Microsoft SQL Server| Machine Learning| Hadoop| Oracle| SQL| Tableau| Teradata| Apache| Alteryx,Clarity Insights,10,3.5,5,USA,,
Data Visualization Specialist - Consultant (Tableau or Alter...,Microsoft SQL Server| Machine Learning| Hadoop| Oracle| SQL| Tableau| Teradata| Apache| Alteryx,Clarity Insights,10,3.5,4,CA,,
Business Data Analyst - Senior Consultant - National,Machine Learning| Oracle| SAS| SQL| Tableau| Data Warehouse| QlikView| Informatica,Clarity Insights,10,3.5,30,IL,,
"Director, Data Science & Analytics",Machine Learning,Cisco Meraki,10,4.400000095,30,CA,"Less than 10,000",Internet and Software
"VP, Analytics",Salesforce CRM| Management Experience| Statisical Analysis| Business Management| SQL| Excel| Tableau| Business Analysis,Vistage Worldwide,10,3.799999952,30,CA,"Less than 10,000",Consulting and Business Services
Data Analyst I,Machine Learning| Data Science,ZIN TECHNOLOGIES INC.,11,3.799999952,20,OH,,
North American National Accounts and Data Analyst,Power BI| Microsoft Office| Excel| Tableau,"Patagonia, Inc",11,3.900000095,6,NV,"Less than 10,000",Retail
Pyro/Demo and Explosive Breaching Data Analyst (Journeyman),Microsoft Word| Microsoft Powerpoint| Microsoft Office,"Cydecor, Inc.",11,3.900000095,20,VA,"Less than 10,000",Consulting and Business Services
Data Analyst,SQL,LimeBike,11,2.599999905,30,CA,"Less than 10,000",Consumer Goods and Services
Transportation Data Analyst,Transportation Management| SQL| Microsoft Office,enVista,11,3.599999905,4,IN,,
Data Analyst,Microsoft SQL Server| Hadoop| R| SQL| Tableau| Java| Spark| Data Warehouse| Informatica| Python,MetroStar Systems,11,4.5,1,MD,"Less than 10,000",
Data Analyst,Data Analysis| MATLAB| Python| SQL,Castleton Commodities International,11,3.299999952,30,TX,,
"Live Operations Data Analyst, World of Tanks PC",Machine Learning| Data Warehouse| Hadoop| Oracle| Python| SQL| Excel| Tableau,Wargaming.net,11,4,30,TX,,
Data Analyst,Microsoft SQL Server| Hadoop| R| SQL| Tableau| Java| Spark| Data Warehouse| Informatica| Python,MetroStar Systems,11,4.5,1,VA,"Less than 10,000",
Data Analytics Analyst,Machine Learning| Hadoop| R| SDLC| SAS| Oracle| SQL| Tableau| Spark| SPSS| Python,ExcelaCom,11,3,30,PA,,
Senior Business Data Analyst- Digital,Google Analytics| SQL| Tableau| QlikView,National Funding,11,3.5,11,CA,,
